line_no,col_offset,type,name,file_name
14,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
16,0,import,sympy,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
17,0,importFrom,"('sympy', 'tan')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
18,0,importFrom,"('sympy', '*')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
19,0,importFrom,"('sympy.vector', 'cross')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
20,0,importFrom,"('sympy.vector.deloperator', 'Del')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
21,0,importFrom,"('sympy.parsing.latex', 'parse_latex')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
22,0,importFrom,"('typing', 'Tuple')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
23,0,import,logging,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
24,0,import,random,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
25,0,import,re,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
26,0,import,os,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
29,0,import,shutil,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
31,0,importFrom,"('subprocess', 'PIPE')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
32,0,import,subprocess,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
35,0,importFrom,"('sympy.physics.quantum.dagger', 'Dagger')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
36,0,importFrom,"('sympy.physics.quantum.state', 'Ket')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
37,0,importFrom,"('sympy.physics.quantum.operator', 'Operator')",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
39,0,Assign,"([<_ast.Name object at 0x80516a8d0>], <_ast.Call object at 0x80516ac10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
39,9,call,logging.getLogger,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
41,0,Assign,"([<_ast.Name object at 0x80516a3d0>], <_ast.Num object at 0x80516a050>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
41,15,Num,30,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
54,0,FunctionDef,create_AST_png_for_latex,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
60,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
61,4,Assign,"([<_ast.Name object at 0x80516abd0>], <_ast.Call object at 0x80516aa90>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
61,15,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
61,19,call,random.randint,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
61,34,Num,1000000,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
61,43,Num,9999999,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
62,16,BinOp,"(<_ast.Str object at 0x80516a610>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x80516a510>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
62,4,call,logger.info,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
62,43,BinOp,"(<_ast.BinOp object at 0x80516a490>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x80516a110>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
62,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
65,8,Assign,"([<_ast.Name object at 0x80516a090>], <_ast.Call object at 0x80516a150>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
65,19,call,parse_latex,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
67,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
67,8,call,logger.error,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
68,24,BinOp,"(<_ast.Str object at 0x80516ac90>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x80516acd0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
68,14,call,Exception,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
69,8,Assign,"([<_ast.Name object at 0x80516af90>], <_ast.Str object at 0x80516a0d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
70,4,Assign,"([<_ast.Name object at 0x805179d50>], <_ast.Call object at 0x805179c10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
71,4,Assign,"([<_ast.Name object at 0x805179d10>], <_ast.Str object at 0x805179dd0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
72,9,call,open,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
73,8,call,fil.write,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
73,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
76,26,BinOp,"(<_ast.Str object at 0x805179310>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x8051791d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
77,8,Assign,"([<_ast.Name object at 0x805179150>], <_ast.Call object at 0x805179210>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
