0,1,2,3,4
176,0,FunctionDef,main,/sympy/build/lib/isympy.py
32,4,FunctionDef,enable_warnings,/sympy/build/lib/sympy/__init__.py
40,0,FunctionDef,__sympy_debug,/sympy/build/lib/sympy/__init__.py
556,0,ClassDef,DeprecatedImportModule,/sympy/build/lib/sympy/__init__.py
666,4,FunctionDef,__init__,/sympy/build/lib/sympy/__init__.py
671,4,FunctionDef,__getattr__,/sympy/build/lib/sympy/__init__.py
679,4,FunctionDef,inject_imports,/sympy/build/lib/sympy/__init__.py
14,0,ClassDef,Quaternion,/sympy/build/lib/sympy/algebras/quaternion.py
44,4,FunctionDef,__new__,/sympy/build/lib/sympy/algebras/quaternion.py
61,4,FunctionDef,a,/sympy/build/lib/sympy/algebras/quaternion.py
65,4,FunctionDef,b,/sympy/build/lib/sympy/algebras/quaternion.py
69,4,FunctionDef,c,/sympy/build/lib/sympy/algebras/quaternion.py
73,4,FunctionDef,d,/sympy/build/lib/sympy/algebras/quaternion.py
77,4,FunctionDef,real_field,/sympy/build/lib/sympy/algebras/quaternion.py
81,4,FunctionDef,from_axis_angle,/sympy/build/lib/sympy/algebras/quaternion.py
120,4,FunctionDef,from_rotation_matrix,/sympy/build/lib/sympy/algebras/quaternion.py
164,4,FunctionDef,__add__,/sympy/build/lib/sympy/algebras/quaternion.py
167,4,FunctionDef,__radd__,/sympy/build/lib/sympy/algebras/quaternion.py
170,4,FunctionDef,__sub__,/sympy/build/lib/sympy/algebras/quaternion.py
173,4,FunctionDef,__mul__,/sympy/build/lib/sympy/algebras/quaternion.py
176,4,FunctionDef,__rmul__,/sympy/build/lib/sympy/algebras/quaternion.py
179,4,FunctionDef,__pow__,/sympy/build/lib/sympy/algebras/quaternion.py
182,4,FunctionDef,__neg__,/sympy/build/lib/sympy/algebras/quaternion.py
185,4,FunctionDef,__truediv__,/sympy/build/lib/sympy/algebras/quaternion.py
190,4,FunctionDef,__rtruediv__,/sympy/build/lib/sympy/algebras/quaternion.py
195,4,FunctionDef,_eval_Integral,/sympy/build/lib/sympy/algebras/quaternion.py
198,4,FunctionDef,diff,/sympy/build/lib/sympy/algebras/quaternion.py
202,4,FunctionDef,add,/sympy/build/lib/sympy/algebras/quaternion.py
256,4,FunctionDef,mul,/sympy/build/lib/sympy/algebras/quaternion.py
297,4,FunctionDef,_generic_mul,/sympy/build/lib/sympy/algebras/quaternion.py
370,4,FunctionDef,_eval_conjugate,/sympy/build/lib/sympy/algebras/quaternion.py
375,4,FunctionDef,norm,/sympy/build/lib/sympy/algebras/quaternion.py
382,4,FunctionDef,normalize,/sympy/build/lib/sympy/algebras/quaternion.py
387,4,FunctionDef,inverse,/sympy/build/lib/sympy/algebras/quaternion.py
394,4,FunctionDef,pow,/sympy/build/lib/sympy/algebras/quaternion.py
440,4,FunctionDef,exp,/sympy/build/lib/sympy/algebras/quaternion.py
471,4,FunctionDef,_ln,/sympy/build/lib/sympy/algebras/quaternion.py
497,4,FunctionDef,pow_cos_sin,/sympy/build/lib/sympy/algebras/quaternion.py
532,4,FunctionDef,integrate,/sympy/build/lib/sympy/algebras/quaternion.py
565,4,FunctionDef,rotate_point,/sympy/build/lib/sympy/algebras/quaternion.py
